Data	TCRBV01.01	TCRBV02.01	TCRBV03.01	TCRBV04.01	TCRBV05.01	TCRBV12.01	TCRBV12.02	TCRBV13.01	TCRBV13.02	TCRBV13.03	TCRBV14.01	TCRBV15.01	TCRBV16.01	TCRBV17.01	TCRBV19.01	TCRBV20.01	TCRBV21.01	TCRBV23.01	TCRBV26.01	TCRBV29.01	TCRBV30.01	TCRBV31.01
Exp_1_Mouse_1_Helios+_Treg_B_D1	0.0455967976710335	0.0583697234352256	0.150745997088792	0.0226164483260553	0.0685589519650655	0.0741266375545852	0.0468522561863173	0.040684133915575	0.0932132459970888	0.0502001455604076	0.0110443959243086	0.0386826783114993	0.0463609898107715	0.00844250363901019	0.0669395924308588	0.0348799126637555	0.00154657933042213	0.00809679767103348	0.0348071324599709	0.0197962154294032	0.00354803493449782	0.0604075691411936
Exp_1_Mouse_1_Helios-_Treg_D1	0.0531458661310461	0.0836002388578253	0.108354595298844	0.030671516204332	0.0778459367026763	0.0179686227674936	0.0153629010368601	0.04489441398404	0.105911731176375	0.0537972965637045	0.0135714673470496	0.0365886759676456	0.0592801693719125	0.0110743173551924	0.0768687910536887	0.0457087020248629	0.00152000434286955	0.00955431301232289	0.0406601161717605	0.0213343466695619	0.00412572607350307	0.073123066065903
Exp_1_Mouse_2_Helios+_Treg_A_D1	0.045149185983175	0.059946740906615	0.103431580221509	0.0249954608727229	0.072535253888519	0.0834896810506567	0.0561943956908552	0.0439690128911215	0.0948828905162501	0.0538945712037766	0.0119379047388489	0.0409883193124735	0.0497034436845609	0.00968347152454155	0.0666041275797373	0.0347545845185499	0.00149791200145252	0.0086999939478303	0.0372964957937421	0.0185045088664286	0.003147128245476	0.0642286509713732
Exp_1_Mouse_2_Helios+_Treg_B_D1	0.046908012992337	0.0600422566301914	0.102172747627006	0.0271356942385923	0.0710794361578001	0.0821481504840592	0.0555800826211725	0.0435968591340544	0.0956135095077418	0.0535303207089023	0.0122355018763205	0.0389770111317839	0.0503768408438712	0.00960234618901958	0.0680993976853458	0.0350193939011699	0.00160827473116584	0.00856169783355933	0.0364542272397591	0.0186055312036833	0.00375264103938696	0.0652297310081675
Exp_1_Mouse_2_Helios-_Treg_D1	0.0547449768160742	0.0868933539412674	0.0923647604327666	0.0319938176197836	0.0817619783616692	0.0184853168469861	0.0165378670788253	0.0449149922720247	0.106120556414219	0.0578361669242658	0.0148686244204019	0.0364142194744977	0.0533539412673879	0.0100772797527048	0.0797527047913447	0.0453168469860896	0.00163833075734158	0.0085935085007728	0.0448840803709428	0.0204945904173107	0.00364760432766615	0.0755795981452859
Exp_2_Mouse_1_Helios+_Treg_D1	0.0497515626134844	0.0634615466776039	0.114738339677779	0.0286674955033474	0.0720788847447055	0.0616927921115255	0.0400319572081021	0.0472821419874136	0.0944959263104378	0.053647949483686	0.0135519069652188	0.0402925708035871	0.0487176529395932	0.0101083896215976	0.0713226780823966	0.0355716196066871	0.00157222628095855	0.00951880476623815	0.0388869663295779	0.0230792564395056	0.00331961907691519	0.0648714235056374
Exp_2_Mouse_1_Helios-_Treg_D1	0.0590492432317203	0.0894620905279613	0.0957151993178427	0.0315142471399133	0.0852341362893484	0.0138918496411568	0.0112271726000142	0.0487813543665174	0.107120017053933	0.0554252824557664	0.0153130107297662	0.0359198465146024	0.0531869537412066	0.00952177929368294	0.0762097633766787	0.0470759610601862	0.00156327719747033	0.00845590847722589	0.0427058907127123	0.0207134228664819	0.00294890925886449	0.0770269310026292
Exp_2_Mouse_1_Tnaive_D1	0.0626011144277909	0.0719365067123328	0.0778355421486126	0.0432826716820007	0.0719505290815173	0.0149653735120952	0.0117095546670827	0.0549887207567873	0.106812768068261	0.0627798996348926	0.0209257568135568	0.0320875626843722	0.050057228794234	0.0109874026540839	0.0929656784986249	0.0430328982309028	0.00179661605175656	0.0104116091194478	0.0450573777819066	0.0198530455709471	0.00255294758964238	0.0767970104308899
Exp_2_Mouse_2_Helios+_Treg_D1	0.0541036702901876	0.0651709261614718	0.113845871415271	0.0282254363304966	0.0726059191460904	0.0567918070835683	0.0389452013480023	0.0455803097258101	0.0924325671050734	0.0499075543200325	0.0137094976462412	0.0402040361390488	0.0514548720840272	0.0102673712644733	0.0727304913389544	0.036978271986992	0.00194726006740011	0.00906754435425709	0.0393058050641875	0.0210527005940127	0.0033765620697342	0.0690457770026619
Exp_2_Mouse_2_Helios-_Treg_D1	0.0637920641112017	0.0914861175135634	0.0862026169284777	0.0334739902840325	0.0839686535938442	0.0134392397432715	0.0121626892663381	0.0484379986525301	0.103967944399135	0.053083223999149	0.0146448707492642	0.0344668628772029	0.0562391404560122	0.00950320910606007	0.0786142335378178	0.0471614481755966	0.00163114783163718	0.00854579624835999	0.0404950179071664	0.0225878514946279	0.00347505407609659	0.0802099216339846
Exp_2_Mouse_2_Tnaive_D1	0.0666432909483044	0.0730248620612091	0.0676753509665639	0.0428450454503354	0.0724241502044273	0.0123622266033317	0.0105653836484645	0.0540481892639295	0.107401722746338	0.0605382589941384	0.0199478677375392	0.0314090265556982	0.0516440186829326	0.0106725591118991	0.0956415311536579	0.0427114069095095	0.00199531603530175	0.00984955740503063	0.0448787329478545	0.0207377905976686	0.00300488243777869	0.0855577755137145
Exp_2_Mouse_3_Helios+_Treg_D1	0.0475947492696202	0.0656541401528795	0.105104654420299	0.0281546404130148	0.0724176571817345	0.0724676831952615	0.0438628086605035	0.0465842237963741	0.0950394204986593	0.0515067835274343	0.0130267739224397	0.0400008004162164	0.0503561852163125	0.0094048905430824	0.072307599951975	0.0358386360907672	0.00143074398687317	0.00953495817825269	0.0389702645375595	0.0188598070996918	0.00319165966302477	0.0655040621122984
Exp_2_Mouse_3_Helios-_Treg_D1	0.0529081990189208	0.0852750525578136	0.0939908899789769	0.032323055360897	0.0853626489138052	0.0165119131044149	0.0159863349684653	0.0498861247372109	0.103670287316048	0.0558426769446391	0.0169936930623686	0.0387613875262789	0.0536089698668535	0.0100735809390329	0.0784425367904695	0.0463384723195515	0.00170812894183602	0.00941660826909601	0.0424404344779257	0.0201471618780659	0.00385423966362999	0.0749386825508059
Exp_2_Mouse_3_Tnaive_D1	0.0579631523559666	0.0721167385536633	0.0793617620466302	0.0430047282375087	0.0727837313056754	0.0157395467413699	0.0131990454592616	0.0545525960840114	0.110760816399128	0.0615723242474098	0.0191056368298576	0.0334029970207657	0.0500392784620629	0.0101249499755436	0.0912564661241792	0.0407236130256273	0.00177123630812101	0.010311707946107	0.0428920805727244	0.0200171935909408	0.00285324677249618	0.081840010671884
